,dsf_number_s_,final_estimate_of_actual_costs_through_end_of_phase_amount,project_budget_amount,project_building_identifier,project_description,project_geographic_district_,project_phase_actual_end_date,project_phase_actual_start_date,project_phase_name,project_phase_planned_end_date,project_school_name,project_status_name,project_type_,total_phase_actual_spending_amount,budget_label
436,DSF: 0000756631,133648,69469,K092,FIRE ALARM,17,2014-05-29 00:00:00,2013-10-18 00:00:00,Design,2014-04-24 00:00:00,P.S. 92 - BROOKLYN,Complete,SCA CIP,102377,1
437,DSF: 0000756631,23107,17367,K092,FIRE ALARM,17,2013-10-08 00:00:00,2013-07-09 00:00:00,Scope,2013-10-07 00:00:00,P.S. 92 - BROOKLYN,Complete,SCA CIP,23107,0
438,DSF: 0000799687,13929,17815,K093,ELECTRICAL LIGHTING FIXTURES,13,2015-10-05 00:00:00,2015-06-08 00:00:00,"CM, F&E",2016-03-03 00:00:00,P.S. 93 - BROOKLYN,Complete,RCT CIP,7317,0
439,DSF: 0000799687,104201,92720,K093,ELECTRICAL LIGHTING FIXTURES,13,2015-10-05 00:00:00,2015-06-08 00:00:00,Construction,2016-03-03 00:00:00,P.S. 93 - BROOKLYN,Complete,RCT CIP,66929,1
440,DSF: 0000799687,22216,6883,K093,ELECTRICAL LIGHTING FIXTURES,13,2015-02-17 00:00:00,2014-10-01 00:00:00,Design,2015-02-04 00:00:00,P.S. 93 - BROOKLYN,Complete,RCT CIP,10756,0
441,DSF: 0000799687,6285,2429,K093,ELECTRICAL LIGHTING FIXTURES,13,2014-10-01 00:00:00,2014-08-19 00:00:00,Scope,2014-10-21 00:00:00,P.S. 93 - BROOKLYN,Complete,RCT CIP,6285,0
442,DSF: 0000800544,34648,35000,K094,FY15 RESO A TECHNOLOGY,15,2015-09-17 00:00:00,2015-06-30 00:00:00,Purch & Install,2015-08-12 00:00:00,P.S. 94 - BROOKLYN,Complete,DIIT - RESOA,34648,0
443,DSF: 0000779148,21645,70630,K094,ELECTRICAL LIGHTING FIXTURES,15,2017-05-02 15:32:05.469136,2015-09-21 00:00:00,"CM, F&E",2016-06-16 00:00:00,P.S. 94 - BROOKLYN,In-Progress,RCT CIP,21645,1
444,DSF: 0000779148,1058966,1135125,K094,ELECTRICAL LIGHTING FIXTURES,15,2017-05-02 15:32:05.469136,2015-09-21 00:00:00,Construction,2016-06-16 00:00:00,P.S. 94 - BROOKLYN,In-Progress,RCT CIP,23647,2
445,DSF: 0000779148,4629,60540,K094,ELECTRICAL LIGHTING FIXTURES,15,2015-05-12 00:00:00,2015-02-05 00:00:00,Design,2015-06-05 00:00:00,P.S. 94 - BROOKLYN,Complete,RCT CIP,4629,1
446,DSF: 0000779148,1005,15135,K094,ELECTRICAL LIGHTING FIXTURES,15,2015-02-05 00:00:00,2015-02-05 00:00:00,Scope,2015-02-05 00:00:00,P.S. 94 - BROOKLYN,Complete,RCT CIP,1005,0
447,DSF: 0000756679,69700,73260,K094,DAMAGED STEPS,15,2015-09-01 00:00:00,2015-02-04 00:00:00,"CM, F&E",2015-09-01 00:00:00,P.S. 94 - BROOKLYN,Complete,SCA CIP,61997,1
448,DSF: 0000756679,455166,381285,K094,DAMAGED STEPS,15,2015-09-01 00:00:00,2015-02-04 00:00:00,Construction,2015-09-01 00:00:00,P.S. 94 - BROOKLYN,Complete,SCA CIP,201668,2
449,DSF: 0000756679,58220,28305,K094,DAMAGED STEPS,15,2014-09-19 00:00:00,2014-04-16 00:00:00,Design,2014-09-16 00:00:00,P.S. 94 - BROOKLYN,Complete,SCA CIP,54780,0
450,DSF: 0000756679,11544,9990,K094,DAMAGED STEPS,15,2014-02-07 00:00:00,2013-10-10 00:00:00,Scope,2014-03-03 00:00:00,P.S. 94 - BROOKLYN,Complete,SCA CIP,11544,0
455,DSF: 0000802497,96858,DOES,K095,TOILETS - STUDENTS,21,2017-05-02 15:32:05.469136,2015-02-27 00:00:00,Construction,DOES,P.S. 95 - BROOKLYN,In-Progress,DOE - Skilled Trades,87424,3
456,DSF: 0000822143,144142,DOES,K095,TOILETS - STUDENTS,21,2017-05-02 15:32:05.469136,2015-09-23 00:00:00,Construction,DOES,P.S. 95 - BROOKLYN,In-Progress,DOE - Skilled Trades,862,3
457,"DSF: 0000026515, 0000779171, 0000779172",309410,445843,K095,PARAPET/ROOFS/EXT MASONRY,21,2017-05-02 15:32:05.469136,2014-08-11 00:00:00,"CM, F&E",2015-11-03 00:00:00,P.S. 95 - BROOKLYN,In-Progress,SCA CIP,309410,2
458,"DSF: 0000026515, 0000779171, 0000779172",4859750,5351053,K095,PARAPET/ROOFS/EXT MASONRY,21,2017-05-02 15:32:05.469136,2014-08-11 00:00:00,Construction,2015-11-03 00:00:00,P.S. 95 - BROOKLYN,In-Progress,SCA CIP,2297076,2
459,"DSF: 0000026515, 0000779171, 0000779172",239976,303553,K095,PARAPET/ROOFS/EXT MASONRY,21,2014-04-16 00:00:00,2013-12-17 00:00:00,Design,2014-05-20 00:00:00,P.S. 95 - BROOKLYN,Complete,SCA CIP,228481,2
460,"DSF: 0000026515, 0000779171, 0000779172",151250,82528,K095,PARAPET/ROOFS/EXT MASONRY,21,2013-10-28 00:00:00,2013-07-18 00:00:00,Scope,2014-01-03 00:00:00,P.S. 95 - BROOKLYN,Complete,SCA CIP,147823,1
461,DSF: 0000776727,274650,DIIT,K096,CLASSROOM CONNECTIVITY,21,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,I.S. 96 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
462,DSF: 0000800546,39600,40000,K096,FY15 RESO A TECHNOLOGY,21,2015-08-27 00:00:00,2015-06-30 00:00:00,Purch & Install,2015-08-12 00:00:00,I.S. 96 - BROOKLYN,Complete,DIIT - RESOA,39600,0
463,DSF: 0000800547,98996,100000,K096,FY15 RESO A TECHNOLOGY,21,2015-08-27 00:00:00,2015-06-30 00:00:00,Purch & Install,2015-08-12 00:00:00,I.S. 96 - BROOKLYN,Complete,DIIT - RESOA,98996,1
464,DSF: 0000799798,119854,DOES,K096,ACE- STEAM SYSTEM UPGRADE,21,2017-05-02 15:32:05.469136,2015-04-03 00:00:00,Construction,DOES,I.S. 96 - BROOKLYN,In-Progress,DOE - Skilled Trades,119854,3
468,DSF: 0000712580,795,795,K096,ELEC UPGRADE,21,2011-07-07 00:00:00,2011-06-02 00:00:00,Scope,2011-10-03 00:00:00,I.S. 96,Complete,SCA CIP,795,0
473,DSF: 0000776728,263220,DIIT,K097,CLASSROOM CONNECTIVITY,21,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 97 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
474,DSF: 0000012191,42590,12240,K097,LL 41/16 COMPLIANCE,21,2017-05-02 15:32:05.469136,2004-02-17 00:00:00,CM,2005-12-29 00:00:00,P.S. 97,In-Progress,SCA Emergency Lighti,36032,0
475,DSF: 0000012191,88645,77000,K097,LL 41/16 COMPLIANCE,21,2017-05-02 15:32:05.469136,2004-02-17 00:00:00,Construction,2005-12-29 00:00:00,P.S. 97,In-Progress,SCA Emergency Lighti,53856,1
476,DSF: 0000012191,23667,2600,K097,LL 41/16 COMPLIANCE,21,2003-10-28 00:00:00,2003-09-15 00:00:00,Design,2003-09-15 00:00:00,P.S. 97,Complete,SCA Emergency Lighti,23667,0
477,DSF: 0000012191,1398,720,K097,LL 41/16 COMPLIANCE,21,2003-09-12 00:00:00,2003-09-12 00:00:00,Scope,2003-09-12 00:00:00,P.S. 97,Complete,SCA Emergency Lighti,1398,0
478,DSF:,78484,DOEL,K099,LEAD PAINT ABATEMENT,21,2015-02-25 00:00:00,2014-11-10 00:00:00,Construction,2015-02-25 00:00:00,P.S. 99 - BROOKLYN,Complete,DOE - Lead Paint,78484,3
479,DSF: 0000800418,59396,75000,K099,FY15 RESO A GYMNASIUM UPGRADE,21,2017-05-02 15:32:05.469136,2014-12-30 00:00:00,Construction,DOER,P.S. 99 - BROOKLYN,In-Progress,DOE- RESOA,59396,1
480,DSF: 0000822144,177271,DOES,K099,TOILETS - STUDENTS,21,2017-05-02 15:32:05.469136,2015-06-26 00:00:00,Construction,DOES,P.S. 99 - BROOKLYN,In-Progress,DOE - Skilled Trades,2446,3
481,"DSF: 0000756759, 0000779234, 0000779245",156150,317387,K099,EXTERIOR MASONRY/PARAPETS /EXTERIOR DOORS,21,2017-05-02 15:32:05.469136,2014-08-11 00:00:00,"CM, F&E",2015-11-03 00:00:00,P.S. 99 - BROOKLYN,In-Progress,SCA CIP,132543,2
482,"DSF: 0000756759, 0000779234, 0000779245",4989685,4892989,K099,EXTERIOR MASONRY/PARAPETS /EXTERIOR DOORS,21,2017-05-02 15:32:05.469136,2014-08-11 00:00:00,Construction,2015-11-03 00:00:00,P.S. 99 - BROOKLYN,In-Progress,SCA CIP,2628494,2
483,"DSF: 0000756759, 0000779234, 0000779245",257801,263040,K099,EXTERIOR MASONRY/PARAPETS /EXTERIOR DOORS,21,2014-05-12 00:00:00,2013-11-20 00:00:00,Design,2014-04-24 00:00:00,P.S. 99 - BROOKLYN,Complete,SCA CIP,231153,2
484,"DSF: 0000756759, 0000779234, 0000779245",67664,66521,K099,EXTERIOR MASONRY/PARAPETS /EXTERIOR DOORS,21,2013-10-16 00:00:00,2013-06-10 00:00:00,Scope,2013-10-24 00:00:00,P.S. 99 - BROOKLYN,Complete,SCA CIP,67664,1
485,DSF: 0000776729,446510,DIIT,K100,CLASSROOM CONNECTIVITY,21,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 100 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
486,DSF: 0000802577,140947,DOES,K100,TOILETS - STUDENTS,21,2017-05-02 15:32:05.469136,2015-12-30 00:00:00,Construction,DOES,P.S. 100 - BROOKLYN,In-Progress,DOE - Skilled Trades,132639,3
487,DSF: 0000776111,19237,DOES,K100,PLANYC OIL CONVERSION PROJECT,21,2015-03-12 00:00:00,2013-08-12 00:00:00,Construction,2015-03-12 00:00:00,P.S. 100 - BROOKLYN,Complete,DOE - Skilled Trades,19237,3
488,DSF: 0000029893,417159,FTK,K100,BOND FAILURE BTWN PLASTER COATS,21,2017-05-02 15:32:05.469136,2014-04-17 00:00:00,Construction,FTK,P.S. 100 - BROOKLYN,In-Progress,Fast Track Projects,400688,3
489,DSF: 0000799688,6619,6160,K100,ELECTRICAL LIGHTING FIXTURES,21,2017-05-02 15:32:05.469136,2015-08-10 00:00:00,"CM, F&E",2016-02-05 00:00:00,P.S. 100 - BROOKLYN,In-Progress,RCT CIP,4030,0
490,DSF: 0000799688,42226,32060,K100,ELECTRICAL LIGHTING FIXTURES,21,2017-05-02 15:32:05.469136,2015-08-10 00:00:00,Construction,2016-02-05 00:00:00,P.S. 100 - BROOKLYN,In-Progress,RCT CIP,346,0
491,DSF: 0000799688,15619,2380,K100,ELECTRICAL LIGHTING FIXTURES,21,2015-05-12 00:00:00,2014-11-05 00:00:00,Design,2015-03-11 00:00:00,P.S. 100 - BROOKLYN,Complete,RCT CIP,8740,0
492,DSF: 0000799688,6091,840,K100,ELECTRICAL LIGHTING FIXTURES,21,2014-11-05 00:00:00,2014-10-09 00:00:00,Scope,2014-12-12 00:00:00,P.S. 100 - BROOKLYN,Complete,RCT CIP,6091,0
493,DSF:,47801,DOEL,K101,LEAD PAINT ABATEMENT,21,2015-06-10 00:00:00,2014-11-10 00:00:00,Construction,2015-06-10 00:00:00,P.S. 101 - BROOKLYN,Complete,DOE - Lead Paint,47801,3
494,DSF: 0000821688,60000,60000,K101,FY 15 RESO A AUDITORIUM UPGRADE,21,2017-05-02 15:32:05.469136,2015-04-21 00:00:00,Construction,DOER,P.S. 101 - BROOKLYN,In-Progress,DOE- RESOA,46787,1
495,DSF: 0000799540,8919,11246,K101,ELECTRICAL LIGHTING FIXTURES,21,2015-12-02 00:00:00,2015-08-06 00:00:00,"CM, F&E",2016-03-02 00:00:00,P.S. 101 - BROOKLYN,Complete,RCT CIP,4963,0
496,DSF: 0000799540,77788,58532,K101,ELECTRICAL LIGHTING FIXTURES,21,2015-12-02 00:00:00,2015-08-06 00:00:00,Construction,2016-03-02 00:00:00,P.S. 101 - BROOKLYN,Complete,RCT CIP,232,1
497,DSF: 0000799540,22752,4345,K101,ELECTRICAL LIGHTING FIXTURES,21,2015-05-12 00:00:00,2014-11-05 00:00:00,Design,2015-03-11 00:00:00,P.S. 101 - BROOKLYN,Complete,RCT CIP,11403,0
498,DSF: 0000799540,6136,1534,K101,ELECTRICAL LIGHTING FIXTURES,21,2014-11-05 00:00:00,2014-10-15 00:00:00,Scope,2014-12-17 00:00:00,P.S. 101 - BROOKLYN,Complete,RCT CIP,6136,0
501,DSF: 0000798192,4454772,4454772,K101,ADDITION,21,2017-05-02 15:32:05.469136,2015-11-20 00:00:00,Design,2016-06-09 00:00:00,P.S. 101 ADDITION - BROOKLYN,In-Progress,SCA Capacity,93142,2
502,DSF: 0000798192,810531,1590990,K101,ADDITION,21,2015-11-19 00:00:00,2015-05-21 00:00:00,Scope,2015-11-19 00:00:00,P.S. 101 ADDITION - BROOKLYN,Complete,SCA Capacity,422042,2
503,"DSF: 0000732197, 0000777442, 0000777443, 0000777444",201461,1032979,K101,WATER INFILTRATION/PARAPETS/ROOFS/EXT MASONRY,21,2017-05-02 15:32:05.469136,2015-02-17 00:00:00,"CM, F&E",2016-08-09 00:00:00,P.S. 101,In-Progress,SCA CIP,201461,2
504,"DSF: 0000732197, 0000777442, 0000777443, 0000777444",12614957,13939643,K101,WATER INFILTRATION/PARAPETS/ROOFS/EXT MASONRY,21,2017-05-02 15:32:05.469136,2015-02-17 00:00:00,Construction,2016-08-09 00:00:00,P.S. 101,In-Progress,SCA CIP,3126303,3
505,"DSF: 0000732197, 0000777442, 0000777443, 0000777444",472215,770095,K101,WATER INFILTRATION/PARAPETS/ROOFS/EXT MASONRY,21,2014-01-30 00:00:00,2013-08-27 00:00:00,Design,2014-01-31 00:00:00,P.S. 101,Complete,SCA CIP,434672,2
506,"DSF: 0000732197, 0000777442, 0000777443, 0000777444",178815,202265,K101,WATER INFILTRATION/PARAPETS/ROOFS/EXT MASONRY,21,2012-01-27 00:00:00,2011-10-03 00:00:00,Scope,2012-02-22 00:00:00,P.S. 101,Complete,SCA CIP,172229,2
507,DSF: 0000798406,19769,151112,K104,ELECTRICAL LIGHTING FIXTURES,20,2017-05-02 15:32:05.469136,2015-08-10 00:00:00,"CM, F&E",2016-05-05 00:00:00,P.S. 104 - BROOKLYN,In-Progress,RCT CIP,19769,1
508,DSF: 0000798406,712926,786470,K104,ELECTRICAL LIGHTING FIXTURES,20,2017-05-02 15:32:05.469136,2015-08-10 00:00:00,Construction,2016-05-05 00:00:00,P.S. 104 - BROOKLYN,In-Progress,RCT CIP,9184,2
509,DSF: 0000798406,364,58384,K104,ELECTRICAL LIGHTING FIXTURES,20,2015-05-12 00:00:00,2015-02-24 00:00:00,Design,2015-06-24 00:00:00,P.S. 104 - BROOKLYN,Complete,RCT CIP,364,1
510,DSF: 0000798406,91,20606,K104,ELECTRICAL LIGHTING FIXTURES,20,2015-02-24 00:00:00,2015-02-24 00:00:00,Scope,2015-02-24 00:00:00,P.S. 104 - BROOKLYN,Complete,RCT CIP,91,0
513,"DSF: 0000712695, 0000802628, 0000802630, 0000802631",247317,517209,K104,WATER INFILTRATION/FLOOD/PARAPETS/ROOFS,20,2015-06-30 00:00:00,2014-12-03 00:00:00,Design,2015-05-06 00:00:00,P.S. 104,Complete,SCA CIP,129555,2
514,"DSF: 0000712695, 0000802628, 0000802630, 0000802631",148809,139365,K104,WATER INFILTRATION/FLOOD/PARAPETS/ROOFS,20,2012-12-17 00:00:00,2011-11-17 00:00:00,Scope,2012-04-05 00:00:00,P.S. 104,Complete,SCA CIP,148560,1
515,DSF: 0000776730,375452,DIIT,K105,CLASSROOM CONNECTIVITY,20,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 105 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
519,"DSF: 0000779335, 0000779337, 0000779340",167918,228952,K105,EXT MASONRY/FLOOD ELIMINATION/ROOFS,20,2015-05-21 00:00:00,2014-09-24 00:00:00,Design,2015-03-02 00:00:00,P.S. 105 - BROOKLYN,Complete,SCA CIP,163574,2
520,"DSF: 0000779335, 0000779337, 0000779340",76429,65129,K105,EXT MASONRY/FLOOD ELIMINATION/ROOFS,20,2014-08-08 00:00:00,2013-12-20 00:00:00,Scope,2014-05-08 00:00:00,P.S. 105 - BROOKLYN,Complete,SCA CIP,72111,1
521,DSF: 0000776731,376425,DIIT,K106,CLASSROOM CONNECTIVITY,32,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 106 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
522,DSF: 0000822136,256198,DOES,K106,TOILETS - STUDENTS,32,2017-05-02 15:32:05.469136,2015-07-01 00:00:00,Construction,DOES,P.S. 106 - BROOKLYN,In-Progress,DOE - Skilled Trades,2010,3
526,DSF: 0000821686,284,0,K106,FY15 RESO A ROOM CONVERSION,32,2015-12-07 00:00:00,2015-05-08 00:00:00,Scope,2015-09-14 00:00:00,P.S. 106 - BROOKLYN,Complete,SCA CIP RESOA,284,0
527,DSF: 0000776732,447808,DIIT,K107,CLASSROOM CONNECTIVITY,15,2015-10-02 00:00:00,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 107 - BROOKLYN,Complete,DIIT - Project Conne,310762,3
528,DSF:,51333,DOEL,K108,LEAD PAINT ABATEMENT,19,2015-12-17 00:00:00,2015-08-17 00:00:00,Construction,2015-12-17 00:00:00,P.S. 108 - BROOKLYN,Complete,DOE - Lead Paint,51333,3
531,DSF: 0000802709,2368,48643,K108,PUBLIC ADDRESS SYSTEM REPLACEMENT,19,2015-10-05 00:00:00,2015-04-30 00:00:00,Design,2015-09-30 00:00:00,P.S. 108 - BROOKLYN,Complete,SCA CIP,2368,0
532,DSF: 0000802709,399,17168,K108,PUBLIC ADDRESS SYSTEM REPLACEMENT,19,2015-03-09 00:00:00,2014-12-16 00:00:00,Scope,2015-03-19 00:00:00,P.S. 108 - BROOKLYN,Complete,SCA CIP,399,0
533,DSF:,36104,DOEL,K110,LEAD PAINT ABATEMENT,14,2015-06-08 00:00:00,2015-05-01 00:00:00,Construction,2015-06-08 00:00:00,P.S. 110 - BROOKLYN,Complete,DOE - Lead Paint,36104,3
534,DSF: 0000798408,49232,96360,K110,ELECTRICAL LIGHTING FIXTURES,14,2017-05-02 15:32:05.469136,2015-12-05 00:00:00,"CM, F&E",2016-08-30 00:00:00,P.S. 110 - BROOKLYN,In-Progress,RCT CIP,1928,1
535,DSF: 0000798408,460307,501510,K110,ELECTRICAL LIGHTING FIXTURES,14,2017-05-02 15:32:05.469136,2015-12-05 00:00:00,Construction,2016-08-30 00:00:00,P.S. 110 - BROOKLYN,In-Progress,RCT CIP,17927,2
536,DSF: 0000798408,1172,37230,K110,ELECTRICAL LIGHTING FIXTURES,14,2015-08-12 00:00:00,2015-06-05 00:00:00,Design,2015-10-05 00:00:00,P.S. 110 - BROOKLYN,Complete,RCT CIP,1172,0
537,DSF: 0000798408,5609,13140,K110,ELECTRICAL LIGHTING FIXTURES,14,2015-06-05 00:00:00,2015-06-05 00:00:00,Scope,2015-06-05 00:00:00,P.S. 110 - BROOKLYN,Complete,RCT CIP,5609,0
538,DSF: 0000776112,10325,DOES,K111,PLANYC OIL CONVERSION PROJECT,32,2015-06-18 00:00:00,2014-07-07 00:00:00,Construction,2015-06-18 00:00:00,I.S. 347 - BROOKLYN,Complete,DOE - Skilled Trades,10325,3
539,DSF: 0000799689,27279,46791,K111,ELECTRICAL LIGHTING FIXTURES,32,2015-12-14 00:00:00,2015-07-07 00:00:00,"CM, F&E",2016-02-01 00:00:00,I.S. 349 - BROOKLYN,Complete,RCT CIP,25933,0
540,DSF: 0000799689,228049,243528,K111,ELECTRICAL LIGHTING FIXTURES,32,2015-12-14 00:00:00,2015-07-07 00:00:00,Construction,2016-02-01 00:00:00,I.S. 349 - BROOKLYN,Complete,RCT CIP,2841,2
541,DSF: 0000799689,44379,18078,K111,ELECTRICAL LIGHTING FIXTURES,32,2015-04-17 00:00:00,2014-12-30 00:00:00,Design,2015-04-30 00:00:00,I.S. 349 - BROOKLYN,Complete,RCT CIP,17339,0
542,DSF: 0000799689,6090,6381,K111,ELECTRICAL LIGHTING FIXTURES,32,2014-12-30 00:00:00,2014-11-18 00:00:00,Scope,2015-01-22 00:00:00,I.S. 349 - BROOKLYN,Complete,RCT CIP,6090,0
545,"DSF: 0000802752, 0000821904",195658,195658,K111,SCIENCE LAB UPGRADES,32,2017-05-02 15:32:05.469136,2015-09-30 00:00:00,Design,2016-04-06 00:00:00,I.S. 347 - BROOKLYN,In-Progress,SCA CIP,4401,1
546,"DSF: 0000802752, 0000821904",35500,57259,K111,SCIENCE LAB UPGRADES,32,2015-09-21 00:00:00,2015-05-01 00:00:00,Scope,2015-09-16 00:00:00,I.S. 347 - BROOKLYN,Complete,SCA CIP,1100,1
548,DSF: 0000798805,71362,70000,K112,FY14 RESO A TOILETS - STUDENTS,20,2015-09-21 00:00:00,2015-04-03 00:00:00,Construction,2015-09-21 00:00:00,P.S. 112 - BROOKLYN,Complete,DOE- RESOA,71362,1
549,DSF: 0000779438,3086,96360,K112,ELECTRICAL LIGHTING FIXTURES,20,2017-05-02 15:32:05.469136,2015-10-14 00:00:00,"CM, F&E",2016-07-09 00:00:00,P.S. 112 - BROOKLYN,In-Progress,RCT CIP,3086,1
550,DSF: 0000779438,471071,501510,K112,ELECTRICAL LIGHTING FIXTURES,20,2017-05-02 15:32:05.469136,2015-10-14 00:00:00,Construction,2016-07-09 00:00:00,P.S. 112 - BROOKLYN,In-Progress,RCT CIP,2852,2
551,DSF: 0000779438,17921,37230,K112,ELECTRICAL LIGHTING FIXTURES,20,2015-07-06 00:00:00,2015-03-02 00:00:00,Design,2015-07-02 00:00:00,P.S. 112 - BROOKLYN,Complete,RCT CIP,17921,0
552,DSF: 0000779438,220,13140,K112,ELECTRICAL LIGHTING FIXTURES,20,2015-03-02 00:00:00,2015-03-02 00:00:00,Scope,2015-03-02 00:00:00,P.S. 112 - BROOKLYN,Complete,RCT CIP,220,0
553,DSF: 0000025709,0,IEH,K112,IEH PO18-CRAWL SPACE ACCESSIBLE FRO,20,2015-09-30 00:00:00,2013-04-08 00:00:00,Construction,IEH,P.S. 112 - BROOKLYN,Complete,SCA IEH,0,3
554,DSF: 0000776736,263220,DIIT,K113,CLASSROOM CONNECTIVITY,13,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,I.S. 113 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
556,DSF: 0000821885,22250,DOES,K113,VACUUM PUMP REPLACEMENT/INSTALL AUT,13,2017-05-02 15:32:05.469136,2015-04-28 00:00:00,Construction,DOES,I.S. 113 - BROOKLYN,In-Progress,DOE - Skilled Trades,13809,3
557,DSF: 0000779463,113972,DOES,K113,BATHROOM UPGRADE FOR THE BASEMENT B,13,2017-05-02 15:32:05.469136,2015-09-02 00:00:00,Construction,DOES,I.S. 113 - BROOKLYN,In-Progress,DOE - Skilled Trades,113972,3
558,DSF: 0000800375,125000,125000,K114,FY15 RESO A AUDITORIUM UPGRADE,18,2015-07-10 00:00:00,2015-01-13 00:00:00,Construction,2015-07-10 00:00:00,P.S. 114 - BROOKLYN,Complete,DOE- RESOA,26541,1
559,DSF: 0000822145,99023,DOES,K114,TOILETS - STUDENTS,18,2017-05-02 15:32:05.469136,2015-08-12 00:00:00,Construction,DOES,P.S. 114 - BROOKLYN,In-Progress,DOE - Skilled Trades,2428,3
560,DSF: 0000712839,400505,196920,K114,EXTERIOR MASONRY,18,2017-05-02 15:32:05.469136,2013-02-11 00:00:00,"CM, F&E",2014-05-06 00:00:00,P.S. 114,In-Progress,SCA CIP,391669,1
561,DSF: 0000712839,2830768,2483380,K114,EXTERIOR MASONRY,18,2017-05-02 15:32:05.469136,2013-02-11 00:00:00,Construction,2014-05-06 00:00:00,P.S. 114,In-Progress,SCA CIP,1899281,2
562,DSF: 0000712839,183719,153160,K114,EXTERIOR MASONRY,18,2012-10-04 00:00:00,2012-03-07 00:00:00,Design,2012-08-06 00:00:00,P.S. 114,Complete,SCA CIP,165681,1
563,DSF: 0000712839,146977,43760,K114,EXTERIOR MASONRY,18,2012-01-27 00:00:00,2011-01-20 00:00:00,Scope,2011-06-06 00:00:00,P.S. 114,Complete,SCA CIP,146977,0
564,DSF: 0000800552,74250,75000,K115,FY15 RESO A TECHNOLOGY,18,2015-10-14 00:00:00,2015-08-04 00:00:00,Purch & Install,2015-08-26 00:00:00,P.S. 115 DANIEL MUCATEL SCHOOL,Complete,DIIT - RESOA,74250,1
565,DSF: 0000798700,110690,200000,K115,FY14 RESO A AUDITORIUM UPGRADE,18,2017-05-02 15:32:05.469136,2015-04-10 00:00:00,Construction,DOER,P.S. 115 - BROOKLYN,In-Progress,DOE- RESOA,110690,2
567,DSF: 0000799541,13404,8649,K116,ELECTRICAL LIGHTING FIXTURES,32,2015-12-14 00:00:00,2015-07-07 00:00:00,"CM, F&E",2016-02-01 00:00:00,P.S. 116 - BROOKLYN,Complete,RCT CIP,10076,0
568,DSF: 0000799541,51062,45012,K116,ELECTRICAL LIGHTING FIXTURES,32,2015-12-14 00:00:00,2015-07-07 00:00:00,Construction,2016-02-01 00:00:00,P.S. 116 - BROOKLYN,Complete,RCT CIP,1750,0
569,DSF: 0000799541,22200,3342,K116,ELECTRICAL LIGHTING FIXTURES,32,2015-04-17 00:00:00,2014-12-30 00:00:00,Design,2015-04-30 00:00:00,P.S. 116 - BROOKLYN,Complete,RCT CIP,16344,0
570,DSF: 0000799541,6053,1179,K116,ELECTRICAL LIGHTING FIXTURES,32,2014-12-30 00:00:00,2014-11-18 00:00:00,Scope,2015-01-22 00:00:00,P.S. 116 - BROOKLYN,Complete,RCT CIP,6053,0
571,DSF: 0000798701,59601,30341,K116,FY14 RESO A AUDITORIUM UPGRADE,32,2015-09-20 00:00:00,2015-02-23 00:00:00,"CM, F&E",2015-09-20 00:00:00,P.S. 116 - BROOKLYN,Complete,SCA CIP RESOA,53951,0
572,DSF: 0000798701,423800,445005,K116,FY14 RESO A AUDITORIUM UPGRADE,32,2015-09-20 00:00:00,2015-02-23 00:00:00,Construction,2015-09-20 00:00:00,P.S. 116 - BROOKLYN,Complete,SCA CIP RESOA,284989,2
573,DSF: 0000798701,44497,30341,K116,FY14 RESO A AUDITORIUM UPGRADE,32,2014-10-14 00:00:00,2014-06-10 00:00:00,Design,2014-11-10 00:00:00,P.S. 116 - BROOKLYN,Complete,SCA CIP RESOA,43299,0
574,DSF: 0000798701,13888,0,K116,FY14 RESO A AUDITORIUM UPGRADE,32,2014-06-10 00:00:00,2014-03-05 00:00:00,Scope,2014-06-03 00:00:00,P.S. 116 - BROOKLYN,Complete,SCA CIP RESOA,13888,0
575,DSF: 0000776739,98645,DIIT,K117,CLASSROOM CONNECTIVITY,13,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,BROOKLYN COMM. HS OF COMMUNICA,In-Progress,DIIT - Project Conne,0,3
576,DSF: 0000776741,98645,DIIT,K117,CLASSROOM CONNECTIVITY,13,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,BKLYN HS FOR LEADERSHIP & COMM,In-Progress,DIIT - Project Conne,0,3
